Name,Slug,Collection ID,Locale ID,Item ID,Archived,Draft,Created On,Updated On,Published On,Frage,Antwort,Kategorie
An wen kann ich mich bei Reparaturen oder Mängeln in der Wohnung wenden?,an-wen-kann-ich-mich-bei-reparaturen-oder-mangeln-in-der-wohnung-wenden,6849740ab31f60e10e1ec1f6,683f1c82a545dd24ef46ba4a,684978d27dd80bcd4c526faf,false,false,Wed Jun 11 2025 12:38:42 GMT+0000 (Coordinated Universal Time),Wed Jun 11 2025 18:12:45 GMT+0000 (Coordinated Universal Time),Sun Jul 27 2025 12:28:22 GMT+0000 (Coordinated Universal Time),An wen kann ich mich bei Reparaturen oder Mängeln in der Wohnung wenden?,Bitte melden Sie Schäden oder Mängel direkt an uns - idealerweise per E-Mail oder über unser Kontaktformular. In dringenden Fällen (z. B. Wasserrohrbruch) stehen wir auch über unsere Notfallnummer zur Verfügung.,mieter
Darf ich Haustiere in der Wohnung halten?,darf-ich-haustiere-in-der-wohnung-halten,6849740ab31f60e10e1ec1f6,683f1c82a545dd24ef46ba4a,6849799c4d7140b0165588d7,false,false,Wed Jun 11 2025 12:42:04 GMT+0000 (Coordinated Universal Time),Wed Jun 11 2025 18:12:04 GMT+0000 (Coordinated Universal Time),Sun Jul 27 2025 12:28:22 GMT+0000 (Coordinated Universal Time),Darf ich Haustiere in der Wohnung halten?,"Die Haltung kleiner Haustiere (z. B. Hamster, Katzen) ist in der Regel erlaubt. Für Hunde oder andere größere Tiere ist eine vorherige Zustimmung des Vermieters bzw. der Hausverwaltung notwendig. Bitte beachten Sie dabei auch die Hausordnung.",mieter
Darf ich bauliche Änderungen in der Wohnung vornehmen?,darf-ich-bauliche-anderungen-in-der-wohnung-vornehmen,6849740ab31f60e10e1ec1f6,683f1c82a545dd24ef46ba4a,68497959918924ea97fbe4df,false,false,Wed Jun 11 2025 12:40:57 GMT+0000 (Coordinated Universal Time),Wed Jun 11 2025 18:12:20 GMT+0000 (Coordinated Universal Time),Sun Jul 27 2025 12:28:22 GMT+0000 (Coordinated Universal Time),Darf ich bauliche Änderungen in der Wohnung vornehmen?,"Kleinere Änderungen (z. B. Wandfarbe) sind meist erlaubt. Größere Umbauten – etwa an Sanitäranlagen, Elektrik oder Böden – müssen jedoch unbedingt vorab von der Hausverwaltung genehmigt werden.",mieter
Darf ich meine Eigentumswohnung vermieten (z. B. über Airbnb)?,darf-ich-meine-eigentumswohnung-vermieten-z-b-uber-airbnb,6849740ab31f60e10e1ec1f6,683f1c82a545dd24ef46ba4a,684978a665fc81040d740ae5,false,false,Wed Jun 11 2025 12:37:58 GMT+0000 (Coordinated Universal Time),Wed Jun 11 2025 18:12:52 GMT+0000 (Coordinated Universal Time),Sun Jul 27 2025 12:28:22 GMT+0000 (Coordinated Universal Time),Darf ich meine Eigentumswohnung vermieten (z. B. über Airbnb)?,"Kurzzeitvermietungen können in vielen Fällen untersagt sein, vor allem wenn sie dem Charakter der Liegenschaft widersprechen. Hier gelten sowohl das WEG als auch lokale Verordnungen der Stadt Wien. Wir beraten Sie gerne individuell dazu.",eigentumer
Ich suche eine bestimmte Immobilie – wie kann ich Ihnen mein Suchprofil übermitteln?,wie-kann-ich-ihnen-mein-suchprofil-ubermitteln,6849740ab31f60e10e1ec1f6,683f1c82a545dd24ef46ba4a,684975d6bf62ce392272d543,false,false,Wed Jun 11 2025 12:25:58 GMT+0000 (Coordinated Universal Time),Wed Jun 11 2025 18:25:51 GMT+0000 (Coordinated Universal Time),Sun Jul 27 2025 12:28:22 GMT+0000 (Coordinated Universal Time),Ich suche eine bestimmte Immobilie - wie kann ich Ihnen mein Suchprofil übermitteln?,"Sie können ganz einfach online ein Suchprofil ausfüllen. Wir informieren Sie dann automatisch, sobald eine passende Immobilie verfügbar ist – individuell nach Ihren Kriterien wie Lage, Größe, Preis und Ausstattung.",alle-2
Kann ich Einsicht in meine Abrechnungen oder Unterlagen bekommen?,kann-ich-einsicht-in-meine-abrechnungen-oder-unterlagen-bekommen,6849740ab31f60e10e1ec1f6,683f1c82a545dd24ef46ba4a,684976b5b491e75fb8ad2f3a,false,false,Wed Jun 11 2025 12:29:41 GMT+0000 (Coordinated Universal Time),Wed Jun 11 2025 18:14:19 GMT+0000 (Coordinated Universal Time),Sun Jul 27 2025 12:28:22 GMT+0000 (Coordinated Universal Time),Kann ich Einsicht in meine Abrechnungen oder Unterlagen bekommen?,"Selbstverständlich. Als Eigentümer erhalten Sie jederzeit Zugang zu relevanten Unterlagen, Abrechnungen und Protokollen. Auf Wunsch stellen wir Ihnen diese auch digital zur Verfügung.",eigentumer
Können Sie mich bei einem Immobilienverkauf unterstützen?,konnen-sie-mich-bei-einem-immobilienverkauf-unterstutzen,6849740ab31f60e10e1ec1f6,683f1c82a545dd24ef46ba4a,684976129d2bee71d6908142,false,false,Wed Jun 11 2025 12:26:58 GMT+0000 (Coordinated Universal Time),Wed Jun 11 2025 18:14:41 GMT+0000 (Coordinated Universal Time),Sun Jul 27 2025 12:28:22 GMT+0000 (Coordinated Universal Time),Können Sie mich bei einem Immobilienverkauf unterstützen?,"Ja, sehr gerne. Wir bewerten Ihre Immobilie marktgerecht, erstellen ein professionelles Exposé, bewerben sie gezielt und übernehmen alle Schritte bis zum erfolgreichen Abschluss des Verkaufs.",eigentumer
Muss ich als Mieter eine Haushaltsversicherung abschließen?,muss-ich-als-mieter-eine-haushaltsversicherung-abschliessen,6849740ab31f60e10e1ec1f6,683f1c82a545dd24ef46ba4a,684979800a5f9dfd75294106,false,false,Wed Jun 11 2025 12:41:36 GMT+0000 (Coordinated Universal Time),Wed Jun 11 2025 18:12:14 GMT+0000 (Coordinated Universal Time),Sun Jul 27 2025 12:28:22 GMT+0000 (Coordinated Universal Time),Muss ich als Mieter eine Haushaltsversicherung abschließen?,"Eine Haushaltsversicherung ist gesetzlich nicht verpflichtend, wird aber dringend empfohlen. Sie schützt bei Schäden durch Wasser, Feuer, Einbruch oder Glasbruch – sowohl für Ihre Einrichtung als auch im Schadensfall gegenüber Dritten.",mieter
Verwalten Sie auch Zinshäuser oder Eigentümergemeinschaften (WEGs)?,verwalten-sie-auch-zinshauser-oder-eigentumergemeinschaften-wegs,6849740ab31f60e10e1ec1f6,683f1c82a545dd24ef46ba4a,684976934ee24d70a6b2df2a,false,false,Wed Jun 11 2025 12:29:07 GMT+0000 (Coordinated Universal Time),Wed Jun 11 2025 18:14:28 GMT+0000 (Coordinated Universal Time),Sun Jul 27 2025 12:28:22 GMT+0000 (Coordinated Universal Time),Verwalten Sie auch Zinshäuser oder Eigentümergemeinschaften (WEGs)?,"Ja, wir betreuen sowohl klassische Mietzinshäuser als auch Wohnungseigentümergemeinschaften und passen unsere Leistungen flexibel an die jeweiligen Bedürfnisse an.",eigentumer
Wann findet die Eigentümerversammlung statt?,wann-findet-die-eigentumerversammlung-statt,6849740ab31f60e10e1ec1f6,683f1c82a545dd24ef46ba4a,684977ebd144d86376a84a51,false,false,Wed Jun 11 2025 12:34:51 GMT+0000 (Coordinated Universal Time),Wed Jun 11 2025 18:13:30 GMT+0000 (Coordinated Universal Time),Sun Jul 27 2025 12:28:22 GMT+0000 (Coordinated Universal Time),Wann findet die Eigentümerversammlung statt?,"Eine ordentliche Eigentümerversammlung findet in der Regel einmal jährlich statt. Sie wird rechtzeitig angekündigt und umfasst Berichte zur Verwaltung, geplante Maßnahmen, Abrechnungen sowie Abstimmungen zu wichtigen Entscheidungen.",eigentumer
